17/10/23 12:21:27 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.1-hadoop2
17/10/23 12:21:28 INFO client.RMProxy: Connecting to ResourceManager at cluster-frodoindex-m/10.138.0.2:8032
17/10/23 12:21:29 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/10/23 12:21:31 WARN gcsio.GoogleCloudStorage: Repairing batch of 1 missing directories.
17/10/23 12:21:32 WARN gcsio.GoogleCloudStorage: Successfully repaired 1/1 implicit directories.
17/10/23 12:21:33 INFO input.FileInputFormat: Total input files to process : 3035
17/10/23 12:21:33 INFO mapreduce.JobSubmitter: number of splits:3035
17/10/23 12:21:33 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1508754001773_0001
17/10/23 12:21:34 INFO impl.YarnClientImpl: Submitted application application_1508754001773_0001
17/10/23 12:21:34 INFO mapreduce.Job: The url to track the job: http://cluster-frodoindex-m:8088/proxy/application_1508754001773_0001/
17/10/23 12:21:34 INFO mapreduce.Job: Running job: job_1508754001773_0001
17/10/23 12:21:45 INFO mapreduce.Job: Job job_1508754001773_0001 running in uber mode : false
17/10/23 12:21:45 INFO mapreduce.Job:  map 0% reduce 0%
17/10/23 12:22:21 INFO mapreduce.Job:  map 1% reduce 0%
17/10/23 12:23:10 INFO mapreduce.Job:  map 2% reduce 0%
17/10/23 12:23:53 INFO mapreduce.Job:  map 3% reduce 0%
17/10/23 12:24:36 INFO mapreduce.Job:  map 4% reduce 0%
17/10/23 12:25:23 INFO mapreduce.Job:  map 5% reduce 0%
17/10/23 12:26:05 INFO mapreduce.Job:  map 6% reduce 0%
17/10/23 12:26:51 INFO mapreduce.Job:  map 7% reduce 0%
17/10/23 12:27:34 INFO mapreduce.Job:  map 8% reduce 0%
17/10/23 12:28:17 INFO mapreduce.Job:  map 9% reduce 0%
17/10/23 12:29:00 INFO mapreduce.Job:  map 10% reduce 0%
17/10/23 12:29:45 INFO mapreduce.Job:  map 11% reduce 0%
17/10/23 12:30:28 INFO mapreduce.Job:  map 12% reduce 0%
17/10/23 12:31:11 INFO mapreduce.Job:  map 13% reduce 0%
17/10/23 12:31:55 INFO mapreduce.Job:  map 14% reduce 0%
17/10/23 12:32:38 INFO mapreduce.Job:  map 15% reduce 0%
17/10/23 12:33:18 INFO mapreduce.Job:  map 16% reduce 0%
17/10/23 12:33:59 INFO mapreduce.Job:  map 17% reduce 0%
17/10/23 12:34:44 INFO mapreduce.Job:  map 18% reduce 0%
17/10/23 12:35:26 INFO mapreduce.Job:  map 19% reduce 0%
17/10/23 12:36:05 INFO mapreduce.Job:  map 20% reduce 0%
17/10/23 12:36:48 INFO mapreduce.Job:  map 21% reduce 0%
17/10/23 12:37:30 INFO mapreduce.Job:  map 22% reduce 0%
17/10/23 12:38:14 INFO mapreduce.Job:  map 23% reduce 0%
17/10/23 12:38:55 INFO mapreduce.Job:  map 24% reduce 0%
17/10/23 12:39:38 INFO mapreduce.Job:  map 25% reduce 0%
17/10/23 12:40:16 INFO mapreduce.Job:  map 26% reduce 0%
17/10/23 12:41:03 INFO mapreduce.Job:  map 27% reduce 0%
17/10/23 12:41:42 INFO mapreduce.Job:  map 28% reduce 0%
17/10/23 12:42:23 INFO mapreduce.Job:  map 29% reduce 0%
17/10/23 12:43:05 INFO mapreduce.Job:  map 30% reduce 0%
17/10/23 12:43:48 INFO mapreduce.Job:  map 31% reduce 0%
17/10/23 12:44:34 INFO mapreduce.Job:  map 32% reduce 0%
17/10/23 12:45:11 INFO mapreduce.Job:  map 33% reduce 0%
17/10/23 12:45:55 INFO mapreduce.Job:  map 34% reduce 0%
17/10/23 12:46:39 INFO mapreduce.Job:  map 35% reduce 0%
17/10/23 12:47:20 INFO mapreduce.Job:  map 36% reduce 0%
17/10/23 12:48:03 INFO mapreduce.Job:  map 37% reduce 0%
17/10/23 12:48:45 INFO mapreduce.Job:  map 38% reduce 0%
17/10/23 12:49:26 INFO mapreduce.Job:  map 39% reduce 0%
17/10/23 12:50:07 INFO mapreduce.Job:  map 40% reduce 0%
17/10/23 12:50:48 INFO mapreduce.Job:  map 41% reduce 0%
17/10/23 12:51:29 INFO mapreduce.Job:  map 42% reduce 0%
17/10/23 12:52:07 INFO mapreduce.Job:  map 43% reduce 0%
17/10/23 12:52:52 INFO mapreduce.Job:  map 44% reduce 0%
17/10/23 12:53:31 INFO mapreduce.Job:  map 45% reduce 0%
17/10/23 12:54:12 INFO mapreduce.Job:  map 46% reduce 0%
17/10/23 12:54:55 INFO mapreduce.Job:  map 47% reduce 0%
17/10/23 12:55:35 INFO mapreduce.Job:  map 48% reduce 0%
17/10/23 12:56:20 INFO mapreduce.Job:  map 49% reduce 0%
17/10/23 12:57:01 INFO mapreduce.Job:  map 50% reduce 0%
17/10/23 12:57:44 INFO mapreduce.Job:  map 51% reduce 0%
17/10/23 12:58:23 INFO mapreduce.Job:  map 52% reduce 0%
17/10/23 12:59:04 INFO mapreduce.Job:  map 53% reduce 0%
17/10/23 12:59:47 INFO mapreduce.Job:  map 54% reduce 0%
17/10/23 13:00:30 INFO mapreduce.Job:  map 55% reduce 0%
17/10/23 13:01:11 INFO mapreduce.Job:  map 56% reduce 0%
17/10/23 13:01:51 INFO mapreduce.Job:  map 57% reduce 0%
17/10/23 13:02:28 INFO mapreduce.Job:  map 58% reduce 0%
17/10/23 13:03:09 INFO mapreduce.Job:  map 59% reduce 0%
17/10/23 13:03:52 INFO mapreduce.Job:  map 60% reduce 0%
17/10/23 13:04:30 INFO mapreduce.Job:  map 61% reduce 0%
17/10/23 13:05:13 INFO mapreduce.Job:  map 62% reduce 0%
17/10/23 13:05:50 INFO mapreduce.Job:  map 63% reduce 0%
17/10/23 13:06:36 INFO mapreduce.Job:  map 64% reduce 0%
17/10/23 13:07:17 INFO mapreduce.Job:  map 65% reduce 0%
17/10/23 13:07:57 INFO mapreduce.Job:  map 66% reduce 0%
17/10/23 13:08:36 INFO mapreduce.Job:  map 67% reduce 0%
17/10/23 13:09:13 INFO mapreduce.Job:  map 68% reduce 0%
17/10/23 13:09:53 INFO mapreduce.Job:  map 69% reduce 0%
17/10/23 13:10:35 INFO mapreduce.Job:  map 70% reduce 0%
17/10/23 13:11:15 INFO mapreduce.Job:  map 71% reduce 0%
17/10/23 13:11:53 INFO mapreduce.Job:  map 72% reduce 0%
17/10/23 13:12:33 INFO mapreduce.Job:  map 73% reduce 0%
17/10/23 13:13:11 INFO mapreduce.Job:  map 74% reduce 0%
17/10/23 13:13:52 INFO mapreduce.Job:  map 75% reduce 0%
17/10/23 13:14:31 INFO mapreduce.Job:  map 76% reduce 0%
17/10/23 13:15:10 INFO mapreduce.Job:  map 77% reduce 0%
17/10/23 13:15:49 INFO mapreduce.Job:  map 78% reduce 0%
17/10/23 13:16:27 INFO mapreduce.Job:  map 79% reduce 0%
17/10/23 13:17:06 INFO mapreduce.Job:  map 80% reduce 0%
17/10/23 13:17:45 INFO mapreduce.Job:  map 81% reduce 0%
17/10/23 13:18:27 INFO mapreduce.Job:  map 82% reduce 0%
17/10/23 13:19:03 INFO mapreduce.Job:  map 83% reduce 0%
17/10/23 13:19:42 INFO mapreduce.Job:  map 84% reduce 0%
17/10/23 13:20:22 INFO mapreduce.Job:  map 85% reduce 0%
17/10/23 13:21:00 INFO mapreduce.Job:  map 86% reduce 0%
17/10/23 13:21:37 INFO mapreduce.Job:  map 87% reduce 0%
17/10/23 13:22:18 INFO mapreduce.Job:  map 88% reduce 0%
17/10/23 13:22:57 INFO mapreduce.Job:  map 89% reduce 0%
17/10/23 13:23:38 INFO mapreduce.Job:  map 90% reduce 0%
17/10/23 13:24:15 INFO mapreduce.Job:  map 91% reduce 0%
17/10/23 13:24:55 INFO mapreduce.Job:  map 92% reduce 0%
17/10/23 13:25:31 INFO mapreduce.Job:  map 93% reduce 0%
17/10/23 13:26:10 INFO mapreduce.Job:  map 94% reduce 0%
17/10/23 13:26:50 INFO mapreduce.Job:  map 95% reduce 0%
17/10/23 13:27:27 INFO mapreduce.Job:  map 95% reduce 3%
17/10/23 13:27:31 INFO mapreduce.Job:  map 95% reduce 7%
17/10/23 13:27:34 INFO mapreduce.Job:  map 95% reduce 15%
17/10/23 13:27:41 INFO mapreduce.Job:  map 96% reduce 15%
17/10/23 13:27:51 INFO mapreduce.Job:  map 96% reduce 16%
17/10/23 13:28:44 INFO mapreduce.Job:  map 97% reduce 16%
17/10/23 13:29:42 INFO mapreduce.Job:  map 98% reduce 16%
17/10/23 13:30:44 INFO mapreduce.Job:  map 99% reduce 16%
17/10/23 13:31:17 INFO mapreduce.Job:  map 99% reduce 17%
17/10/23 13:31:42 INFO mapreduce.Job:  map 100% reduce 17%
17/10/23 13:32:16 INFO mapreduce.Job:  map 100% reduce 21%
17/10/23 13:32:17 INFO mapreduce.Job:  map 100% reduce 22%
17/10/23 13:32:22 INFO mapreduce.Job:  map 100% reduce 23%
17/10/23 13:32:23 INFO mapreduce.Job:  map 100% reduce 24%
17/10/23 13:32:26 INFO mapreduce.Job:  map 100% reduce 34%
17/10/23 13:32:28 INFO mapreduce.Job:  map 100% reduce 35%
17/10/23 13:32:29 INFO mapreduce.Job:  map 100% reduce 41%
17/10/23 13:32:32 INFO mapreduce.Job:  map 100% reduce 43%
17/10/23 13:32:34 INFO mapreduce.Job:  map 100% reduce 44%
17/10/23 13:32:35 INFO mapreduce.Job:  map 100% reduce 51%
17/10/23 13:32:38 INFO mapreduce.Job:  map 100% reduce 53%
17/10/23 13:32:40 INFO mapreduce.Job:  map 100% reduce 54%
17/10/23 13:32:41 INFO mapreduce.Job:  map 100% reduce 57%
17/10/23 13:32:44 INFO mapreduce.Job:  map 100% reduce 59%
17/10/23 13:32:47 INFO mapreduce.Job:  map 100% reduce 62%
17/10/23 13:32:50 INFO mapreduce.Job:  map 100% reduce 64%
17/10/23 13:32:53 INFO mapreduce.Job:  map 100% reduce 67%
17/10/23 13:32:56 INFO mapreduce.Job:  map 100% reduce 69%
17/10/23 13:32:59 INFO mapreduce.Job:  map 100% reduce 73%
17/10/23 13:33:02 INFO mapreduce.Job:  map 100% reduce 75%
17/10/23 13:33:04 INFO mapreduce.Job:  map 100% reduce 76%
17/10/23 13:33:05 INFO mapreduce.Job:  map 100% reduce 77%
17/10/23 13:33:08 INFO mapreduce.Job:  map 100% reduce 79%
17/10/23 13:33:10 INFO mapreduce.Job:  map 100% reduce 80%
17/10/23 13:33:11 INFO mapreduce.Job:  map 100% reduce 82%
17/10/23 13:33:14 INFO mapreduce.Job:  map 100% reduce 84%
17/10/23 13:33:17 INFO mapreduce.Job:  map 100% reduce 86%
17/10/23 13:33:20 INFO mapreduce.Job:  map 100% reduce 88%
17/10/23 13:33:23 INFO mapreduce.Job:  map 100% reduce 90%
17/10/23 13:33:26 INFO mapreduce.Job:  map 100% reduce 92%
17/10/23 13:33:29 INFO mapreduce.Job:  map 100% reduce 93%
17/10/23 13:33:32 INFO mapreduce.Job:  map 100% reduce 95%
17/10/23 13:33:35 INFO mapreduce.Job:  map 100% reduce 97%
17/10/23 13:33:38 INFO mapreduce.Job:  map 100% reduce 98%
17/10/23 13:33:41 INFO mapreduce.Job:  map 100% reduce 99%
17/10/23 13:33:46 INFO mapreduce.Job:  map 100% reduce 100%
17/10/23 13:33:47 INFO mapreduce.Job: Job job_1508754001773_0001 completed successfully
17/10/23 13:33:47 INFO mapreduce.Job: Counters: 54
	File System Counters
		FILE: Number of bytes read=3420439283
		FILE: Number of bytes written=7277332700
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		GS: Number of bytes read=1141053926
		GS: Number of bytes written=235895406
		GS: Number of read operations=0
		GS: Number of large read operations=0
		GS: Number of write operations=0
		HDFS: Number of bytes read=442783
		HDFS: Number of bytes written=0
		HDFS: Number of read operations=3035
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=0
	Job Counters 
		Launched map tasks=3035
		Launched reduce tasks=8
		Rack-local map tasks=3035
		Total time spent by all maps in occupied slots (ms)=116395848
		Total time spent by all reduces in occupied slots (ms)=7250484
		Total time spent by all map tasks (ms)=29098962
		Total time spent by all reduce tasks (ms)=1812621
		Total vcore-milliseconds taken by all map tasks=29098962
		Total vcore-milliseconds taken by all reduce tasks=1812621
		Total megabyte-milliseconds taken by all map tasks=59594674176
		Total megabyte-milliseconds taken by all reduce tasks=3712247808
	Map-Reduce Framework
		Map input records=3035
		Map output records=210623260
		Map output bytes=2999192680
		Map output materialized bytes=3420584909
		Input split bytes=442783
		Combine input records=0
		Combine output records=0
		Reduce input groups=1218245
		Reduce shuffle bytes=3420584909
		Reduce input records=210623260
		Reduce output records=1218245
		Spilled Records=421246520
		Shuffled Maps =24280
		Failed Shuffles=0
		Merged Map outputs=24280
		GC time elapsed (ms)=615140
		CPU time spent (ms)=5299260
		Physical memory (bytes) snapshot=1452555358208
		Virtual memory (bytes) snapshot=10636537823232
		Total committed heap usage (bytes)=1304318443520
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=1141053926
	File Output Format Counters 
		Bytes Written=235895406
