URL,Size,OutLinks,ContentType
https://www.bostonglobe.com/,115135,321,text/html
https://www.bostonglobe.com/rf/image_r/Boston/2011-2020/2017/09/22/BostonGlobe.com/Business/Images/Lassig_25dental04_met.r.jpg,24771,0,image/jpeg
https://www.bostonglobe.com/newsletters?p1=Article_inline-newsletterWidget_ThankYou_Link,33304,83,text/html
https://www.bostonglobe.com/staff/mccluskey,41691,94,text/html
https://www.bostonglobe.com/?p1=BGHeader_Logo_Sticky,115135,322,text/html
https://www.bostonglobe.com/business/2017/09/29/minn-dental-therapists-offer-lessons-mass-weighs-expanding-role-mid-level-providers/mOwJ9wqIjjf7XdMthvLEVI/amp.html,32099,17,text/html
https://www.bostonglobe.com/business?p1=BGHeader_SectionLink,99811,195,text/html
https://www.bostonglobe.com/arts/music/2017/09/29/benefit-show-orpheum-solange-occupies-sacred-space/aqJNjBrLxgWBaRdUV4FgqI/story.html,48516,90,text/html
https://www.bostonglobe.com/arts/music/2017/09/29/beyonce-sings-spanish-for-relief-efforts-gente-remix/I9Lv5IJq1QS9bFqXURh4VP/story.html,43608,86,text/html
https://www.bostonglobe.com/arts/movies/2017/09/28/bladerunnerside/G6WTQcEwvdOjidsmBGCpiM/story.html,47758,89,text/html
https://www.bostonglobe.com/arts/2017/09/28/the-ticket-what-happening-arts-world/K8Qco75cJ7MQWSXjGcaqRM/story.html,63830,124,text/html
https://www.bostonglobe.com/lifestyle/names/2017/09/29/who-are-new-judges-american-idol/KQeEZCz4QCJRiS2lgA3zuM/story.html,44516,90,text/html
https://www.bostonglobe.com/arts/music?p1=BGHeader_MainNav,97854,212,text/html
https://www.bostonglobe.com/opinion/2017/09/29/capture-flag/sbJJufxhdQAU4o9vRS9CyK/story.html,49364,90,text/html
https://www.bostonglobe.com/ideas/2017/09/29/boston-story-words/cb3G86OU4wLZPpBwDRfuNM/story.html,40784,86,text/html
https://www.bostonglobe.com/opinion/editorials?p1=BGHeader_MainNav,65616,179,text/html
https://www.bostonglobe.com/ideas/2017/09/29/big-data-minutes/4rG5Q71ZcO6YP0RuKd2HeN/story.html,42009,89,text/html
https://www.bostonglobe.com/opinion/2017/09/29/ice-raids-are-immoral/qyj2ppvkxDlmkItN5vOeeN/story.html,48274,89,text/html
https://www.bostonglobe.com/metro/2017/07/20/murals-enliven-downtown-lynn/VsFcV92FSsK6tFLmm8As2K/story.html,49414,90,text/html
https://www.bostonglobe.com/ideas/2017/09/29/innovation-week-like-fingerprints-but-your-chest/2mKgCtvLTr5ltHS6KK1hnI/story.html,44320,86,text/html
https://www.bostonglobe.com/opinion/letters/2017/09/30/hernandez-case-only-amplifies-alarm-over-brain-injuries-nfl/eSIr3vmA3rVsp2COSkpOVJ/story.html,44936,87,text/html
https://www.bostonglobe.com/opinion/2015/02/18/guide-globe-opinion/i6UNslPNOxEZU302nuxYUI/story.html,54154,103,text/html
